time	V(n003)	V(n005)
1.010976286384311e-006	1.965379e+001	3.116397e+001
1.011683319194678e-006	1.965378e+001	3.116357e+001
1.012383032141242e-006	1.965377e+001	3.116285e+001
1.013172053109498e-006	1.965375e+001	3.116143e+001
1.013895324006735e-006	1.965371e+001	3.115926e+001
1.014702458794443e-006	1.965364e+001	3.115538e+001
1.015547663803444e-006	1.965353e+001	3.114921e+001
1.016566802535840e-006	1.965334e+001	3.113831e+001
1.017789474470733e-006	1.965302e+001	3.111967e+001
1.019475757450148e-006	1.965244e+001	3.108463e+001
1.021110363187189e-006	1.965173e+001	3.104119e+001
1.022123113106845e-006	1.965122e+001	3.100836e+001
1.023001253759433e-006	1.965070e+001	3.097530e+001
1.023930575791965e-006	1.965010e+001	3.093577e+001
1.025276859338287e-006	1.964909e+001	3.087023e+001
1.027481103898689e-006	1.964715e+001	3.074556e+001
1.029928996786621e-006	1.964459e+001	3.058379e+001
1.032330577856878e-006	1.964157e+001	3.039776e+001
1.035323162543466e-006	1.963693e+001	3.012568e+001
1.039425271301018e-006	1.962860e+001	2.968188e+001
1.045465706355585e-006	1.961132e+001	2.890086e+001
1.051712826156898e-006	1.958374e+001	2.794521e+001
1.057663832174978e-006	1.953859e+001	2.688871e+001
1.063302148643889e-006	1.944994e+001	2.575315e+001
1.069093588272019e-006	1.925059e+001	2.446112e+001
1.072314767520931e-006	1.897590e+001	2.366815e+001
1.075014948499026e-006	1.850188e+001	2.293206e+001
1.077880834365167e-006	1.777492e+001	2.208972e+001
1.080368807220351e-006	1.706537e+001	2.132461e+001
1.083147769171126e-006	1.620693e+001	2.040299e+001
1.087707588371178e-006	1.446697e+001	1.854992e+001
1.090437106833023e-006	1.296910e+001	1.697251e+001
1.091921192318804e-006	1.185967e+001	1.581451e+001
1.093282715961428e-006	1.068723e+001	1.459510e+001
1.094506534725146e-006	9.583245e+000	1.344761e+001
1.095750942567179e-006	8.439964e+000	1.225894e+001
1.096982045904178e-006	7.309135e+000	1.108128e+001
1.098699275503664e-006	5.759496e+000	9.461675e+000
1.100767451061875e-006	4.019374e+000	7.606978e+000
1.104321910614011e-006	1.451491e+000	4.696190e+000
1.106004840555505e-006	5.818855e-001	3.510277e+000
1.106890708735337e-006	3.212724e-001	2.990272e+000
1.107761308969685e-006	1.769401e-001	2.541668e+000
1.109109791541740e-006	4.314276e-002	1.910650e+000
1.110612892812080e-006	-4.324493e-002	1.265835e+000
1.111341636880726e-006	-6.530659e-002	9.784786e-001
1.111706731262151e-006	-7.081275e-002	8.448967e-001
1.111933614189179e-006	-7.288236e-002	7.663850e-001
1.112056437140091e-006	-7.370954e-002	7.258931e-001
1.112139262548264e-006	-7.413188e-002	6.998819e-001
1.112217940369373e-006	-7.443235e-002	6.764756e-001
1.112298651193351e-006	-7.465127e-002	6.544548e-001
1.112448761173500e-006	-7.480456e-002	6.181485e-001
1.112591663887167e-006	-7.468614e-002	5.884813e-001
1.112751143232573e-006	-7.421006e-002	5.612563e-001
1.112920047343021e-006	-7.332317e-002	5.384429e-001
1.113153684471960e-006	-7.147647e-002	5.151137e-001
1.113620958729838e-006	-6.662296e-002	4.815758e-001
1.114107730664585e-006	-6.070539e-002	4.560471e-001
1.114657709995169e-006	-5.359751e-002	4.348455e-001
1.115336947594728e-006	-4.513592e-002	4.151758e-001
1.116326614726913e-006	-3.420532e-002	3.941313e-001
1.117599829040476e-006	-2.265744e-002	3.750014e-001
1.118923860957531e-006	-1.347783e-002	3.615910e-001
1.120333644912530e-006	-6.462100e-003	3.523162e-001
1.122010041188976e-006	-8.051026e-004	3.455010e-001
1.124157659687505e-006	3.783765e-003	3.411628e-001
1.126825422784457e-006	7.196133e-003	3.416595e-001
1.129970765785962e-006	9.768913e-003	3.513567e-001
1.132659578785728e-006	1.153310e-002	3.680759e-001
1.134273172720043e-006	1.246193e-002	3.810511e-001
1.135645878535754e-006	1.304766e-002	3.917834e-001
1.136946136990793e-006	1.329169e-002	3.997829e-001
1.139007934241600e-006	1.312930e-002	4.074246e-001
1.141553708409397e-006	1.236777e-002	4.098739e-001
1.143809437224305e-006	1.140693e-002	4.062973e-001
1.145964688340866e-006	1.047584e-002	3.991086e-001
1.148083669432406e-006	9.745046e-003	3.904246e-001
1.150341429093669e-006	9.246107e-003	3.810362e-001
1.152515119764292e-006	9.031030e-003	3.728036e-001
1.154948605425367e-006	9.023476e-003	3.649762e-001
1.158000162697867e-006	9.177810e-003	3.567947e-001
1.160224369214316e-006	9.329979e-003	3.517317e-001
1.162301204829399e-006	9.463470e-003	3.475552e-001
1.164579084590495e-006	9.577473e-003	3.432938e-001
